route_id,route_code,stop_name,stop_id,stop_lat,stop_lon,heading_degrees,transfer_to_route_id,stop_type,parent_stop_id,route
106,3,Olive-Harvey College,7213,41.70946,-87.589113,272,28-North^;28-South^,bus,7213,106
106,3,Woodlawn & 103rd Street,7212,41.708403,-87.594025,0,,bus,7212,106
106,4,1000 E 103rd Street,12279,41.707633,-87.598698,270,,bus,12279,106
106,4,103rd Street & Calumet,12288,41.70737,-87.614847,270,,bus,12288,106
106,4,103rd Street & Corliss,12281,41.707553,-87.603752,269,34-South^,bus,12281,106
106,4,103rd Street & Cottage Grove,12282,41.707513,-87.606183,267,115-North^;115-South^;4-North^;4-South^,bus,12282,106
106,4,103rd Street & Eberhart,12285,41.707427,-87.611207,269,,bus,12285,106
106,4,103rd Street & Forest,12289,41.707347,-87.61607,268,,bus,12289,106
106,4,103rd Street & Indiana,12291,41.707307,-87.618502,270,,bus,12291,106
106,4,103rd Street & King Drive,12287,41.707387,-87.613607,270,111-North^;111-South^,bus,12287,106
106,4,103rd Street & Michigan,12292,41.707275,-87.620108,8,103-East^;103-West^;119-North^;119-South^;34-North^,bus,12292,106
106,4,103rd Street & Prairie,12290,41.707323,-87.617295,270,,bus,12290,106
106,4,103rd Street & St. Lawrence,12283,41.707458,-87.608727,268,,bus,12283,106
106,4,103rd Street & Stony Island Garage Terminal,17747,41.708737,-87.580785,255,111A-North^;111A-South^;15-North^;15-South^;26-North^+;26-South^+;28-North^;28-South^;992-North^;J14-North^;J14-South^,bus,17747,106
106,4,1100 E 103rd Street,12278,41.707775,-87.595725,268,,bus,12278,106
106,4,900 E 103rd Street,12280,41.707593,-87.601337,268,,bus,12280,106
106,4,95th Red Line Station,14006,41.720868,-87.624612,278,103-East^;103-West^;115-North^;115-South^;Red*,bus,14006,106
106,4,95th Street & Michigan,2982,41.721898,-87.621045,273,100-East^+;100-West^+;111-North^;111-South^;119-North^;119-South^;3-North^;3-South^;34-North^;34-South^;4-North^;4-South^;5-East^;5-West^;95-East^;95-West^;X4-South^+,bus,2982,106
106,4,Michigan & 100th Street,7619,41.712537,-87.620046,354,,bus,7619,106
106,4,Michigan & 101st Street,7618,41.710754,-87.619817,0,,bus,7618,106
106,4,Michigan & 102nd Street,7617,41.708941,-87.619871,7,,bus,7617,106
106,4,Michigan & 96th Street,7623,41.719848,-87.620473,355,,bus,7623,106
106,4,Michigan & 97th Street,7622,41.718043,-87.620457,359,,bus,7622,106
106,4,Michigan & 98th Street,7621,41.716208,-87.62041,0,3-South^;X4-South^+,bus,7621,106
106,4,Michigan & 99th Street,7620,41.714452,-87.620282,355,,bus,7620,106
106,4,Olive-Harvey College,7213,41.70946,-87.589113,272,28-North^;28-South^,bus,7213,106
106,4,Woodlawn & 103rd Street,7212,41.708403,-87.594025,0,,bus,7212,106
108,1,12100 S Halsted,5981,41.67396,-87.641708,14,,bus,5981,108
108,1,127th Street & Emerald,5974,41.663327,-87.640072,268,,bus,5974,108
108,1,127th Street & Halsted,5975,41.663318,-87.64112,267,,bus,5975,108
108,1,127th Street & Michigan,7590,41.663502,-87.619822,321,34-North^,bus,7590,108
108,1,130th Street & Daniel Drive,7588,41.659162,-87.614767,270,,bus,7588,108
108,1,130th Street & Indiana,7589,41.659098,-87.616833,270,34-South^,bus,7589,108
